0.0,0.0
110.29,5401.21
51.96,3266.96
421.8,26316.05
439.39,27664.91
1225.04,83162.78
64.13,3219.86
259.17,12481.19
424.72,26830.18
608.56,46397.04
718.35,59910.96
302.8,15030.04
327.1,15352.31
1077.24,65420.88
92.4,4526.61
421.2,26292.98
831.79,73387.72
nan,nan
518.77,33076.82
562.52,35448.45
362.1,22622.83
173.38,8948.23
23.96,1344.75
513.79,34956.64
437.11,27583.63
63.64,3160.43
192.84,9430.66
43.59,2568.64
19.59,1170.78
30.1,1692.7
110.04,5400.6
0.0,0.0
108.72,5933.76
478.56,28982.85
496.15,30331.7
979.13,86930.98
48.35,2443.8
363.4,17428.43
481.48,29496.97
665.32,49063.83
775.12,62577.76
407.03,19977.27
431.33,20299.54
1181.47,70368.12
196.62,9473.85
477.96,28959.78
888.55,76054.52
nan,nan
575.53,35743.61
619.28,38115.24
418.86,25289.63
277.6,13895.47
90.64,4464.11
570.55,37623.43
493.87,30250.43
47.85,2384.37
93.76,4902.68
108.76,5552.62
94.59,4644.43
83.02,4096.8
51.63,3247.1
109.11,5946.19
0.0,0.0
370.89,23192.28
388.48,24541.13
871.46,81140.41
62.95,3764.84
304.98,15274.92
373.81,23706.4
557.64,43273.26
667.44,56787.19
348.61,17823.77
372.91,18146.03
1123.06,68214.61
138.21,7320.34
370.29,23169.21
780.88,70263.95
nan,nan
467.86,29953.04
511.61,32324.67
311.19,19499.05
219.19,11741.96
33.23,2281.09
462.88,31832.86
386.2,24459.85
62.46,3705.41
191.66,9975.64
19.91,1434.05
33.42,2325.53
33.86,2409.04
421.59,26313.04
479.07,29012.14
371.01,23209.13
0.0,0.0
23.92,1815.14
506.9,58414.43
432.91,26830.79
674.94,38340.87
17.63,1548.85
193.08,20547.27
302.88,34061.2
718.57,40889.71
742.87,41211.98
652.9,75927.98
508.17,30386.29
7.73,622.79
416.32,47537.96
nan,nan
239.49,15791.67
513.97,32156.36
61.97,4082.58
589.15,34807.91
403.18,25347.04
98.31,9106.87
157.84,10298.48
432.41,26771.36
561.61,33041.59
389.87,24499.99
403.38,25391.48
403.82,25474.99
439.11,27654.36
496.59,30353.46
388.54,24550.45
23.94,1816.65
0.0,0.0
485.9,57118.75
450.43,28172.11
692.47,39682.18
31.08,2513.79
172.08,19251.59
281.88,32765.52
736.1,42231.03
760.4,42553.3
631.9,74632.3
525.7,31727.61
23.84,1854.94
395.31,46242.28
nan,nan
